ambito,tipo,texto,archivo
ea.signos_sintomas,alerta,"Un dato aislado de la revisión por sistemas (por ejemplo, edema de piernas) puede cambiar el diagnóstico.",02c
ea.signos_sintomas,alerta,En el anciano suelen coexistir varias enfermedades: no detenga la búsqueda en la primera explicación.,02c
ea.signos_sintomas,alerta,"El daño renal puede dar solo cansancio, náuseas, vómitos o falta de apetito, sin molestias urinarias.",10a
ea.sintoma_guia,consejo,"Identifique el síntoma guía: la queja de mayor duración o precisión, o el relato principal del paciente.",02a
ea.sintoma_guia,consejo,"Fije cuándo empezó, cómo evolucionó y cómo está hoy. Úselo como hilo conductor de toda la historia.",02a
ea.sintoma_guia,consejo,"Analícelo en 10 puntos: época, modo, desencadenantes, carácter, localización, irradiación, intensidad, tipo, curso, tratamiento.",02a
ea.sintoma_guia,consejo,Relacione las demás quejas con el síntoma guía en orden cronológico.,02a
ea.sintoma_guia,alerta,La anamnesis aporta hasta el 50% del diagnóstico cardiovascular (100% en la angina de pecho): no la acorte.,08a
ea.sintoma_guia,alerta,En neurología la queja no señala el sitio de la lesión: complete el interrogatorio antes de pedir imágenes.,11a
ea.relato_cronologico,pregunta,¿Cómo empezó? ¿De golpe o poco a poco?,02a
ea.relato_cronologico,pregunta,¿A qué atribuye usted que haya empezado?,02a
ea.relato_cronologico,pregunta,"¿Tomó algo por su cuenta? ¿Qué, en qué dosis y le sirvió?",02a
ea.relato_cronologico,pregunta,"¿Fue a algún médico, estuvo hospitalizado o le hicieron exámenes? ¿Qué tratamiento le dieron?",02a
ea.relato_cronologico,pregunta,"¿Desde entonces ha mejorado, empeorado o le aparecieron molestias nuevas?",02a
ea.relato_cronologico,pregunta,¿Cómo se siente hoy? ¿Qué molestias tiene en este momento?,02a
ea.relato_cronologico,alerta,No resuma el estado actual con está mejor o está peor sin explicar en qué.,02a
ea.relato_cronologico,consejo,La evolución es la parte más extensa: ordénela junto con los exámenes y tratamientos que ya recibió.,02a
funciones_biologicas,pregunta,¿Cómo está su apetito? ¿Come más o menos que antes?,13a
funciones_biologicas,pregunta,¿Ha subido o bajado de peso últimamente?,02c
funciones_biologicas,pregunta,¿Tiene más sed o más hambre de lo normal? ¿Orina más cantidad?,02c
funciones_biologicas,pregunta,¿Cuántas veces orina al día? ¿Se levanta de noche a orinar?,10a
funciones_biologicas,pregunta,¿Cada cuánto hace deposición? ¿Con esfuerzo o con heces duras?,09a
funciones_biologicas,pregunta,¿Cómo duerme? ¿Necesita varias almohadas para dormir?,08a
funciones_biologicas,pregunta,¿Siente más frío o más calor que las demás personas? ¿Suda mucho?,13a
funciones_biologicas,alerta,El edema puede ocultar el adelgazamiento: el paciente pierde masa aunque su peso se mantenga estable.,08a2
ant_personales,pregunta,¿Qué come habitualmente? ¿Qué tipo de alimentos y en qué cantidad?,02b
ant_personales,pregunta,"¿Fuma? ¿Cuántos cigarrillos y desde hace cuántos años? Si lo dejó, ¿hace cuánto?",02b
ant_personales,pregunta,"¿Toma bebidas alcohólicas? ¿Cuáles, con qué frecuencia y desde cuándo?",02b
ant_personales,pregunta,"¿Consume alguna droga, o productos del gimnasio como anabólicos o anfetaminas?",02b
ant_personales,pregunta,¿Hace ejercicio o pasa la mayor parte del día sentado?,02b
ant_personales,pregunta,"¿Cómo es su vivienda? ¿De qué material es, cuántos duermen ahí y tiene agua y luz?",02b
ant_personales,pregunta,¿Cuántas personas dependen económicamente de usted?,02b
ant_personales,alerta,"Alcohol, drogas y enfermedades venéreas suelen ocultarse: un no puede ser falso. Pregunte con tacto y discreción.",02b
ant_fisiologicos,pregunta,¿Sabe si su mamá tuvo alguna infección (como rubéola) o tomó medicamentos durante el embarazo?,02b
ant_fisiologicos,pregunta,¿Nació por parto normal o por cesárea? ¿Qué número de hijo es?,02b
ant_fisiologicos,pregunta,"¿A qué edad le salieron los dientes, gateó, caminó y dijo sus primeras palabras?",02b
ant_fisiologicos,pregunta,¿Cómo le fue en el colegio? ¿A qué edad empezó su pubertad?,02b
ant_fisiologicos,pregunta,"¿A qué edad tuvo su primera regla? ¿Cada cuánto le viene, cuántos días dura y le duele?",02b
ant_fisiologicos,pregunta,"¿Cuándo fue su última regla? ¿Cuántos embarazos, partos y abortos ha tenido?",02b
ant_fisiologicos,pregunta,¿Usa algún método anticonceptivo? ¿Cuándo se hizo su último Papanicolaou?,02a
ant_fisiologicos,alerta,"Si está embarazada, evite rayos X e isótopos: muchos fármacos son teratógenos, sobre todo en el primer trimestre.",08a2
ant_patologicos,pregunta,"¿Qué enfermedades tuvo de niño: sarampión, varicela, rubéola, tos convulsiva, paperas, amigdalitis, fiebre reumática?",02b
ant_patologicos,pregunta,"¿Le han dicho que tiene presión alta, diabetes, tuberculosis, hepatitis, cálculos en el riñón u otra enfermedad?",02b
ant_patologicos,pregunta,"¿Es alérgico a algún alimento, medicamento u otra sustancia?",02b
ant_patologicos,pregunta,"¿Lo han operado? ¿Cuándo, de qué y en qué hospital? ¿Ha tenido accidentes o fracturas?",02b
ant_patologicos,pregunta,"¿Le han puesto sangre alguna vez? ¿Cuándo, dónde y por qué?",02b
ant_patologicos,pregunta,¿Qué vacunas ha recibido y cuándo?,02b
ant_patologicos,pregunta,"¿Qué medicamentos toma? ¿En qué dosis, para qué y se los recetó un médico o los tomó por su cuenta?",02b
ant_patologicos,alerta,Amigdalitis a repetición y dolores articulares que cambian de lugar en la infancia orientan a fiebre reumática.,08a2
ant_familiares,pregunta,"¿Sus padres, hermanos, pareja e hijos están sanos? ¿Qué edad tienen? Si alguno falleció, ¿de qué murió?",02b
ant_familiares,consejo,"No olvide preguntar por tíos y abuelos, tanto paternos como maternos.",02b
ant_familiares,pregunta,¿Algún familiar ha tenido una enfermedad parecida a la suya?,02b
ant_familiares,pregunta,"¿En su familia hay presión alta, diabetes, cáncer, asma, migraña, epilepsia o problemas del corazón?",02b
ant_familiares,pregunta,"¿Y derrame cerebral, colesterol alto, úlcera, cálculos en la vesícula o várices?",02b
ant_familiares,pregunta,¿Vive o ha vivido con alguien que tenga tuberculosis?,02b
ant_familiares,pregunta,¿Tiene contacto con animales o mascotas?,02b
ant_familiares,alerta,"Si sospecha una enfermedad estrictamente hereditaria (hemofilia, riñón poliquístico), haga un árbol genealógico riguroso.",02b
s.dolor,pregunta,¿Desde cuándo tiene el dolor? ¿Empezó de golpe o poco a poco?,02a
s.dolor,pregunta,¿Dónde le duele exactamente? ¿El dolor se corre hacia otra parte?,03b
s.dolor,pregunta,"¿Cómo es el dolor: punzante, quemante, opresivo, pulsátil, tipo cólico o como un peso?",03b
s.dolor,pregunta,"¿Qué tan fuerte es: leve, moderado o insoportable? ¿Del 0 al 10, cuánto le pondría?",03b
s.dolor,pregunta,"¿Qué lo provoca, qué lo empeora y qué lo calma?",03b
s.dolor,pregunta,¿Es un solo episodio o le viene por ataques? ¿Cada cuánto se repite?,02a
s.dolor,pregunta,¿Qué ha tomado para el dolor? ¿Le hizo efecto?,02a
s.dolor,alerta,"En el adulto mayor el dolor es el quinto signo vital: pregúntelo siempre, aunque no lo mencione.",03b
s.dolor_toracico,pregunta,"¿Dónde le duele: detrás del esternón, en la zona del corazón o en un costado? ¿Se va al cuello, mandíbula o brazo izquierdo?",08a
s.dolor_toracico,pregunta,"¿Cómo es el dolor: como si algo le apretara, como quemazón, punzante o como una puñalada?",08a
s.dolor_toracico,pregunta,"¿Cuánto le dura: unos minutos, más de 20 minutos, horas o días?",08a
s.dolor_toracico,pregunta,"¿Aparece con esfuerzo, frío, emociones o comidas abundantes, o en reposo? ¿Se calma al descansar o con pastillas bajo la lengua?",08a
s.dolor_toracico,pregunta,"¿Aumenta al respirar, al tragar o al echarse boca arriba? ¿Mejora inclinándose hacia adelante?",08a
s.dolor_toracico,pregunta,"¿Se acompaña de sudor frío, náuseas, vómitos o falta de aire?",08a
s.dolor_toracico,pregunta,"¿Tiene presión alta, diabetes, colesterol alto o sobrepeso? ¿Fuma? ¿Hace poco ejercicio?",08a
s.dolor_toracico,alerta,No calme con analgésicos un dolor torácico dudoso sin electrocardiograma y enzimas. Ancianos y diabéticos pueden infartar sin dolor.,08a
s.dolor_abdominal,pregunta,¿En qué parte de la barriga le duele? ¿Empezó en otro sitio y luego se movió?,09a
s.dolor_abdominal,pregunta,"¿Cómo es el dolor: tipo cólico, ardor, como taladro, como lanza que atraviesa o como un peso?",09a
s.dolor_abdominal,pregunta,"¿El dolor se corre hacia la espalda, el costado, la ingle o los genitales?",09a
s.dolor_abdominal,pregunta,"¿Se relaciona con las comidas, el alcohol o los antiinflamatorios? ¿Mejora con antiácidos?",09a
s.dolor_abdominal,pregunta,"¿Se acompaña de náuseas, vómitos, diarrea o estreñimiento?",09a
s.dolor_abdominal,pregunta,"¿Ha notado la piel u ojos amarillos, orina oscura o heces blanquecinas?",09a
s.dolor_abdominal,pregunta,"¿Hay alguna posición que lo alivie, o no encuentra cómo ponerse?",10a
s.dolor_abdominal,alerta,"Dolor bajo las costillas derechas en un cardiópata puede ser congestión del hígado, no una enfermedad digestiva.",08a2
s.cefalea,pregunta,¿A qué edad empezaron sus dolores de cabeza? ¿Alguien en su familia los sufre?,11g
s.cefalea,pregunta,"¿En qué parte le duele: un lado, ambos lados, la frente, la nuca, el ojo o toda la cabeza?",11g
s.cefalea,pregunta,"¿Cómo es: pulsátil, opresivo, punzante, ardoroso o como descarga eléctrica? ¿Del 0 al 10, cuánto?",11g
s.cefalea,pregunta,¿Cuántos días al mes le duele y cuánto dura cada vez? ¿A qué hora aparece? ¿Lo despierta?,11g
s.cefalea,pregunta,"¿Le molestan la luz, los ruidos o los olores? ¿Tiene náuseas, vómitos, lagrimeo o ve destellos antes?",11g
s.cefalea,pregunta,"¿Algo se lo provoca: comidas, sol, ayuno, olores, emociones o la regla?",11g
s.cefalea,pregunta,¿Qué pastillas toma para el dolor y con qué frecuencia?,11g
s.cefalea,alerta,"Alarma: inicio después de los 50 años, o la peor cefalea de su vida, máxima en el primer minuto (descartar hemorragia subaracnoidea).",11g
s.disnea,pregunta,¿Desde cuándo le falta el aire? ¿Empezó de repente o poco a poco?,07a
s.disnea,pregunta,"¿Con qué esfuerzo le falta el aire: subir pisos o cargar peso, sus tareas diarias, levantarse o bañarse, o incluso en reposo?",07a
s.disnea,pregunta,¿Se ahoga al echarse? ¿Con cuántas almohadas duerme? ¿Se despierta de noche sofocado?,08a
s.disnea,pregunta,¿Respira mejor echado sobre un lado que sobre el otro?,07a
s.disnea,pregunta,"¿Se acompaña de silbido en el pecho, tos, flema, sangre al toser o dolor de pecho?",07a
s.disnea,pregunta,¿Qué medicamentos ha usado para esto y mejoró con ellos?,02a
s.disnea,consejo,Distinga falta de aire de cansancio o fatiga: pregunte si le cuesta respirar o si solo se cansa.,07a
s.disnea,alerta,"Disnea súbita con sobrepeso o viaje reciente sugiere tromboembolia pulmonar. En un joven deportista, neumotórax.",07a
s.tos,pregunta,¿Desde cuándo tiene tos?,07a
s.tos,pregunta,¿La tos es seca o con flema?,07a
s.tos,pregunta,"¿Cómo es la flema: cuánta bota, de qué color (blanca, amarilla-verdosa, rosada, color óxido) y tiene mal olor?",07a
s.tos,pregunta,¿Ha botado sangre al toser? ¿Cuánta? ¿Antes tuvo náuseas o vómito?,07a
s.tos,pregunta,¿Tose más en la mañana o en la noche? ¿Tiene accesos de tos que terminan en vómito?,07a
s.tos,pregunta,"¿Se acompaña de falta de aire, silbido en el pecho, ronquera o dolor al respirar?",07a
s.tos,pregunta,"¿Fuma? ¿Qué medicamentos toma, por ejemplo para la presión (los inhibidores de la enzima convertidora de angiotensina pueden dar tos seca)?",07a
s.tos,alerta,"En nuestro medio, tos crónica con flema o sangre obliga a pensar primero en tuberculosis.",07a
s.edema,pregunta,¿Desde cuándo nota la hinchazón y dónde empezó?,08a
s.edema,pregunta,¿Se hinchan las dos piernas por igual o solo una?,08a
s.edema,pregunta,¿La hinchazón empeora por la tarde y mejora después de dormir? ¿Ha ido subiendo?,08a
s.edema,pregunta,¿Se le hinchan la cara o los párpados? ¿Su orina hace mucha espuma?,10a
s.edema,pregunta,¿Ha subido de peso? ¿Orina menos o se levanta de noche a orinar?,08a2
s.edema,pregunta,¿Le falta el aire o necesita varias almohadas para dormir?,08a
s.edema,pregunta,¿Toma antiinflamatorios como ibuprofeno o diclofenaco?,08a2
s.edema,alerta,Edema asimétrico sugiere enfermedad venosa. En pacientes encamados búsquelo en la región sacra.,08a
s.palpitaciones,pregunta,"¿Cómo siente los latidos: rápidos, lentos, irregulares o como saltos?",08a
s.palpitaciones,pregunta,¿Aparecen con el esfuerzo y se calman en reposo?,08a
s.palpitaciones,pregunta,"¿Aparecen con nervios, ansiedad o miedo intenso?",08a
s.palpitaciones,pregunta,"¿Antes de sentirlas tomó café, alcohol, cocaína o inhaladores para el asma?",08a
s.palpitaciones,pregunta,"¿Le han dicho que tiene arritmia, presión alta, problemas de tiroides o anemia?",08a
s.palpitaciones,pregunta,"¿Ha bajado de peso aunque come más, suda mucho o le tiemblan las manos?",13a
s.palpitaciones,pregunta,¿Toma digitálicos u otro medicamento para el corazón?,08a
s.palpitaciones,alerta,"Los digitálicos, aun a dosis usuales, pueden dar arritmias, sobre todo con potasio bajo o insuficiencia renal.",08a
s.sincope,pregunta,¿Perdió el conocimiento por completo o solo sintió que se iba a desmayar?,08a
s.sincope,pregunta,"¿Qué hacía en ese momento: estaba de pie, con dolor o calor, tosiendo, orinando o defecando?",08a
s.sincope,pregunta,"¿Le pasó al ponerse de pie, al girar la cabeza o con el cuello apretado?",08a
s.sincope,pregunta,¿Antes sintió náuseas o sudoración? ¿Se recuperó rápido al echarse?,08a
s.sincope,pregunta,¿Tuvo convulsiones o se orinó durante el desmayo?,08a
s.sincope,pregunta,¿Toma medicamentos para la presión? ¿Es diabético o estaba en ayunas?,08a
s.sincope,consejo,"Si el paciente no recuerda el episodio, pida el relato a un familiar o acompañante que lo haya visto.",02a
s.sincope,alerta,"En ancianos predomina el síncope cardiogénico (arritmias graves, estenosis aórtica, infarto): no lo tome como simple desmayo.",08a
s.vomitos,pregunta,"¿Antes de vomitar tuvo náuseas o arcadas, o el vómito salió de golpe, sin aviso?",09a
s.vomitos,pregunta,"¿Qué vomitó: comida recién ingerida, comida de horas antes, líquido amarillo-verdoso o algo oscuro y fétido?",09a
s.vomitos,pregunta,¿Cuánto tiempo después de comer vomita?,09a
s.vomitos,pregunta,¿Ha vomitado sangre o algo parecido a borra de café?,07a
s.vomitos,pregunta,¿Se acompaña de dolor o hinchazón de la barriga?,09a
s.vomitos,pregunta,¿Podría estar embarazada? ¿Toma antiinflamatorios o digitálicos?,09a
s.vomitos,pregunta,¿Toma alcohol? ¿Los vómitos son por las mañanas?,09h
s.vomitos,alerta,"Vómito en proyectil, sin náuseas previas, sugiere hipertensión endocraneana (vómito cerebral).",09a
s.diarrea,pregunta,¿Desde cuándo tiene diarrea? ¿Ha durado más de un mes?,09a
s.diarrea,pregunta,¿Cuántas veces al día va al baño y cuánta cantidad elimina cada vez?,09a
s.diarrea,pregunta,"¿Las heces tienen moco, pus, sangre o restos de comida sin digerir?",09a
s.diarrea,pregunta,¿Siente ganas de evacuar sin poder hacerlo? ¿Le duele alrededor del ombligo o más abajo?,09a
s.diarrea,pregunta,"¿Tiene fiebre, náuseas o vómitos?",09a
s.diarrea,pregunta,¿La diarrea lo despierta de noche o solo le ocurre de día?,09a
s.diarrea,pregunta,"¿Ha tomado laxantes, antibióticos, colchicina o alcohol?",09a
s.diarrea,alerta,"Vigile la deshidratación: mucosas secas, taquicardia e hipotensión al ponerse de pie.",09a
s.ictericia,pregunta,¿Desde cuándo nota el color amarillo? ¿Apareció de golpe o poco a poco?,09a
s.ictericia,pregunta,"¿El color amarillo ha ido aumentando, se mantiene o está bajando?",09a
s.ictericia,pregunta,"¿Su orina está oscura, como coca-cola?",09a
s.ictericia,pregunta,"¿Sus heces están blanquecinas, como masilla?",09a
s.ictericia,pregunta,¿Tiene picazón en la piel?,09a
s.ictericia,pregunta,"¿Antes tuvo náuseas, vómitos, asco a la carne o al cigarro, o cólicos en el lado derecho de la barriga?",09a
s.ictericia,pregunta,"¿Toma alcohol o algún medicamento? ¿Come mucha zanahoria, papaya o naranja?",09a
s.ictericia,alerta,Examine con luz natural (con luz artificial pasa inadvertida). Piel amarilla con escleras normales sugiere hipercarotinemia.,09a
s.urinario,pregunta,"¿Siente dolor, ardor o molestia al orinar?",10a
s.urinario,pregunta,¿Orina muchas veces pero poca cantidad? ¿Siente ganas urgentes de orinar?,10a
s.urinario,pregunta,"¿Orina más o menos que antes? ¿Se levanta de noche, se le escapa la orina o le cuesta orinar?",10a
s.urinario,pregunta,"¿De qué color es su orina? ¿Es turbia, con mucha espuma o con mal olor?",10a
s.urinario,pregunta,"¿Ha visto sangre en la orina? ¿Al inicio, al final o durante toda la micción?",10a
s.urinario,pregunta,"¿Tiene fiebre, escalofríos o dolor en la espalda baja que se corre a la ingle?",10a
s.urinario,pregunta,"¿Ha tenido cálculos, infecciones urinarias repetidas, sondas o cirugías urológicas? ¿Es diabético o hipertenso?",10a
s.urinario,alerta,"Descarte falsa hematuria (regla, betarraga, rifampicina, fenazopiridina) y pregunte si toma anticoagulantes.",10a
s.vertigo,pregunta,"¿Siente que usted o las cosas dan vueltas, o es más bien aturdimiento, sensación de flotar o inestabilidad al estar de pie?",11g
s.vertigo,pregunta,¿Empezó de golpe o poco a poco? ¿Viene por episodios o es continuo?,11g
s.vertigo,pregunta,"¿Cuánto dura cada episodio: segundos, horas, días o más?",11g
s.vertigo,pregunta,¿Aparece o empeora con los cambios de posición?,11g
s.vertigo,pregunta,¿Oye zumbidos o escucha menos? ¿Tiene náuseas o vómitos?,11g
s.vertigo,pregunta,¿Ha perdido el conocimiento o notado debilidad u otro síntoma neurológico?,11g
s.vertigo,pregunta,"¿Toma aspirina, anticonvulsivantes, diuréticos o alcohol? ¿Se ha golpeado la cabeza?",11g
s.vertigo,alerta,"Inicio insidioso y progresivo, edad mayor de 50 años o riesgo cerebrovascular: sospeche causa central y pida neuroimagen.",11g
s.fiebre,pregunta,¿Desde cuándo tiene fiebre? ¿Ya lleva más de una semana?,05e
s.fiebre,pregunta,¿Empezó de golpe con escalofríos o poco a poco?,05e
s.fiebre,pregunta,¿Se tomó la temperatura con termómetro? ¿Cuánto marcó?,05e
s.fiebre,pregunta,"¿A qué hora le sube más: en la mañana, en la tarde o en la noche?",05e
s.fiebre,pregunta,¿Cómo se le pasa: de golpe con mucho sudor o bajando poco a poco?,05e
s.fiebre,pregunta,"¿Se acompaña de dolor de cabeza, dolor de huesos, tos, ardor al orinar o diarrea?",05e
s.fiebre,consejo,"Si refiere fiebre que el termómetro no confirma (por ejemplo, bochornos), pídale anotar fecha, hora y temperatura de cada episodio.",05e
s.fiebre,alerta,Ancianos y pacientes en shock pueden tener solo febrícula pese a una infección grave.,05e
ectoscopia,instrumento,"Ninguno: la ectoscopia se hace solo con la vista, sin tocar ni usar instrumentos.",05a
ectoscopia,tecnica,"Primera mirada de pocos segundos: registrar buen, regular o mal estado general, escrito completo y no en siglas.",05a
ectoscopia,tecnica,"Nivel de conciencia desde que entra: conducta, comunicación y lo que dicen los familiares. Si hay coma, usar Glasgow.",05a
ectoscopia,buscar,"Lenguaje: disfonía (voz ronca, laringe), disartria (voz baja, lenta y monótona) o disfasia (falla cortical)",05a
ectoscopia,buscar,"Decúbito activo o pasivo, preferido (ortopnea, genupectoral, gatillo de fusil) u obligado (dorsal, ventral, lateral)",05a
ectoscopia,buscar,"Biotipo por ángulo de Charpy: longilíneo menor de 90°, normolíneo igual a 90°, brevilíneo mayor de 90°.",05b
ectoscopia,tecnica,"Hidratación: piel, mucosas, ojos hundidos, peso y fontanelas en el niño. En ancianos, pliegue en región frontal o esternal.",05b
ectoscopia,tecnica,"Marcha: hacer caminar al paciente descalzo en un ambiente amplio. Ver velocidad, línea recta o desvío y braceo.",05b
ef_general,tecnica,"Orden clásico: inspección, palpación, percusión y auscultación. En el abdomen la auscultación va antes de palpar.",03
ef_general,posicion,"Buena luz, de preferencia natural. Descubrir solo la región que se examina y mantener cubierto el resto.",03
ef_general,tecnica,"Antes de palpar, calentar las manos frotándolas entre sí y llevar las uñas cortas.",03
ef_general,instrumento,Lupa para lesiones cutáneas pequeñas (aumenta 4 a 8 veces). Linterna y bajalenguas para cavidades.,03b
ef_general,posicion,"Piel: decúbito dorsal, zona descubierta, recorrer toda la superficie corporal solo con inspección y palpación.",05f
ef_general,buscar,"Piel: coloración (palidez, cianosis, ictericia), humedad, espesor, temperatura, elasticidad, sensibilidad y lesiones.",05f
ef_general,tecnica,"Ganglios: palpar con los pulpejos de índice, medio y anular las cadenas cervicocefálica, axilar e inguinal.",05j
ef_general,buscar,"Ganglio palpable: localización, tamaño, consistencia, movilidad, dolor y piel. Supraclavicular izquierdo: Virchow.",05j
efg.pa,instrumento,"Tensiómetro y estetoscopio con diafragma. Manguito adulto 12 x 23 cm, 18-20 cm de ancho en obesos o muslo.",05d
efg.pa,posicion,"Decúbito dorsal (o sentado o de pie) en ambiente tranquilo. Si llega de la calle, reposo de 5 minutos antes.",05d
efg.pa,posicion,"Brazo apoyado en horizontal, con la arteria braquial a nivel del corazón (4.º espacio intercostal)",05d
efg.pa,tecnica,"Manguito desinflado sobre piel sin ropa, cubre 2/3 del brazo, borde inferior 2 traveses sobre el codo, ni apretado ni flojo.",05d
efg.pa,tecnica,"Palpatorio: insuflar hasta que desaparezca el pulso, desinflar despacio y marcar dónde reaparece (solo sistólica)",05d
efg.pa,tecnica,"Auscultatorio: insuflar 30 mmHg sobre la sistólica palpatoria, diafragma sobre la braquial, desinflar 2-3 mmHg por vez.",05d
efg.pa,buscar,Korotkoff: fase I (primer ruido) es la sistólica y fase V (desaparición) la diastólica. Atención al hueco auscultatorio.,05d
efg.pa,tecnica,Medir en ambos brazos y repetir al final del examen: la 2.ª o 3.ª toma suele ser más baja y fidedigna.,05d
efg.fc,instrumento,"Estetoscopio para auscultar los latidos, contados durante un minuto completo.",08c
efg.fc,posicion,"Paciente en reposo, tórax descubierto, ambiente silencioso y receptor directo sobre la piel.",08c
efg.fc,tecnica,Contar los latidos durante un minuto completo.,05e
efg.fc,tecnica,Comparar la frecuencia auscultada con el pulso radial. Si el corazón late más que el pulso hay déficit de pulso.,08c
efg.fc,buscar,"Adulto en reposo 60-100 latidos por minuto. Menos de 60 bradicardia, más de 100 taquicardia, fisiológicas o patológicas.",05e
efg.fc,buscar,"Arritmia sinusal normal: sube en inspiración y baja en espiración. Otra irregularidad sugiere arritmia, confirmar con electrocardiograma.",08c
efg.fc,buscar,"Valores por edad: recién nacido 130-160, lactante 110-130, niño 80-120 latidos por minuto.",08c
efg.fr,posicion,Paciente en reposo con el tórax descubierto.,05e
efg.fr,tecnica,Contar las respiraciones de un minuto observando el ascenso y descenso del tórax.,05e
efg.fr,buscar,"Adulto 16-20 respiraciones por minuto. Taquipnea más de 20 con respiración superficial, bradipnea menos de 16.",05e
efg.fr,buscar,"Valores por edad: recién nacido 40-45, lactante 25-35, preescolar 30, escolar 18-22 respiraciones por minuto.",07b
efg.fr,buscar,"Ritmo: Cheyne-Stokes, Biot, Kussmaul o suspirosa. Apnea: pausa respiratoria de 15 a 20 segundos.",07b
efg.fr,buscar,"Tipo: costoabdominal en varón, costal superior en mujer, abdominal en niño. Movimientos simétricos.",07b
efg.fr,buscar,Polipnea: aumento de frecuencia y profundidad. La fiebre sube la frecuencia respiratoria 4-5 por minuto por cada grado.,07b
efg.temperatura,instrumento,Termómetro clínico graduado de 35 a 42 °C.,03b
efg.temperatura,tecnica,"Sitio habitual axilar (dejar 5 minutos), oral o rectal. La oral se altera si tomó bebidas frías o calientes.",05e
efg.temperatura,buscar,"Normal: axilar 36.5 °C, oral 37 °C, rectal 37.5 °C.",05e
efg.temperatura,buscar,"Axilar: fiebre leve 37.5 °C, moderada 37.6-38.5 °C, elevada más de 38.6 °C. Hipotermia menos de 35 °C.",05e
efg.temperatura,tecnica,"Abdomen agudo: toma axilo-rectal, primero axilar y luego rectal. Diferencia esperada unos 0.8 °C a favor de la rectal.",05e
